description,department
"Water pipe leaking near my house","Water Dept"
"Water supply interrupted in colony","Water Dept"
"No water coming from taps","Water Dept"
"Water pipeline burst on main road","Water Dept"
"Low water pressure in apartment","Water Dept"
"Water tank overflow in building","Water Dept"
"Tap water leakage in kitchen","Water Dept"
"Underground water pipe broken","Water Dept"
"Water main rupture on street","Water Dept"
"Water dripping from ceiling pipe","Water Dept"
"Public water tap not working","Water Dept"
"Water contamination in supply","Water Dept"
"Water meter malfunction","Water Dept"
"Water pump not working","Water Dept"
"Water reservoir leakage","Water Dept"
"Street water hydrant broken","Water Dept"
"Sewage water mixing with drinking water","Water Dept"
"Water pipeline corrosion issue","Water Dept"
"Water supply line damaged","Water Dept"
"Water filtration plant issue","Water Dept"

"Broken streetlight on main road","Electricity Dept"
"Power outage in entire area","Electricity Dept"
"Electricity cut since morning","Electricity Dept"
"Street light not working at night","Electricity Dept"
"Electric pole wire hanging dangerously","Electricity Dept"
"Transformer sparking in colony","Electricity Dept"
"Power fluctuation damaging appliances","Electricity Dept"
"Electric meter not working","Electricity Dept"
"Overhead electric cables fallen","Electricity Dept"
"Electricity bill discrepancy","Electricity Dept"
"Power tripping frequently","Electricity Dept"
"Voltage fluctuation issue","Electricity Dept"
"Streetlight flickering continuously","Electricity Dept"
"Electric shock hazard from pole","Electricity Dept"
"Power distribution box damaged","Electricity Dept"
"Underground cable fault","Electricity Dept"
"Electricity theft in area","Electricity Dept"
"Generator not working during power cut","Electricity Dept"
"Solar street light malfunction","Electricity Dept"
"Electric substation issue","Electricity Dept"

"Large pothole on main road","Road Dept"
"Road damaged near bus stop","Road Dept"
"Street full of cracks and potholes","Road Dept"
"Road repair needed urgently","Road Dept"
"Speed breaker broken and dangerous","Road Dept"
"Road sinking near bridge","Road Dept"
"Manhole cover missing on road","Road Dept"
"Road blocked due to construction","Road Dept"
"Street signboard fallen down","Road Dept"
"Footpath broken near market","Road Dept"
"Road flooding during rain","Road Dept"
"Uneven road surface causing accidents","Road Dept"
"Road debris causing traffic jam","Road Dept"
"Sidewalk damaged and unsafe","Road Dept"
"Road markings faded","Road Dept"
"Gravel and stones on road","Road Dept"
"Road collapse on hill area","Road Dept"
"Traffic signal not working","Road Dept"
"Road waterlogging issue","Road Dept"
"Bridge repair required","Road Dept"

"Garbage pile not collected","Sanitation Dept"
"Dustbins overflowing in market","Sanitation Dept"
"Sewage overflow on street","Sanitation Dept"
"Drainage blockage in colony","Sanitation Dept"
"Garbage truck not coming regularly","Sanitation Dept"
"Stagnant water causing mosquitoes","Sanitation Dept"
"Public toilet cleaning needed","Sanitation Dept"
"Medical waste dumped improperly","Sanitation Dept"
"Drainage smell near residential area","Sanitation Dept"
"Garbage burning causing pollution","Sanitation Dept"
"Sewage treatment plant issue","Sanitation Dept"
"Drain choked with plastic","Sanitation Dept"
"Community bin overflowing","Sanitation Dept"
"Sanitation workers strike","Sanitation Dept"
"Bio-medical waste disposal","Sanitation Dept"
"Drainage water mixing with drinking water","Sanitation Dept"
"Public park cleaning required","Sanitation Dept"
"Industrial waste dumping","Sanitation Dept"
"Dead animal removal needed","Sanitation Dept"
"Sewer line blockage","Sanitation Dept"

"Streetlight wiring issue near hospital","Electricity Dept"
"Power cut affecting water supply","Electricity Dept"
"Electricity problem in entire building","Electricity Dept"
"Voltage issue damaging equipment","Electricity Dept"
"Street light outage on dark street","Electricity Dept"
"Transformer blast in locality","Electricity Dept"
"Electric cable theft reported","Electricity Dept"
"Power backup system failure","Electricity Dept"
"Electric meter reading problem","Electricity Dept"
"High electricity bill complaint","Electricity Dept"

"Water logging on road after rain","Road Dept"
"Pothole causing vehicle damage","Road Dept"
"Road safety hazard for children","Road Dept"
"Street repair incomplete","Road Dept"
"Road widening work stalled","Road Dept"
"Footpath occupied by vendors","Road Dept"
"Road divider damaged","Road Dept"
"Speed bump installation needed","Road Dept"
"Road cleaning required","Road Dept"
"Street furniture damaged","Road Dept"

"Drinking water quality issue","Water Dept"
"Water supply timing problem","Water Dept"
"Borewell water contamination","Water Dept"
"Water tank cleaning required","Water Dept"
"Pipeline replacement needed","Water Dept"
"Water pressure too low","Water Dept"
"Water bill dispute","Water Dept"
"Water connection application","Water Dept"
"Water conservation issue","Water Dept"
"Groundwater depletion concern","Water Dept"

"Garbage segregation not followed","Sanitation Dept"
"Composting plant issue","Sanitation Dept"
"Sanitation in slum areas","Sanitation Dept"
"Waste management improvement","Sanitation Dept"
"Drainage system upgrade needed","Sanitation Dept"
"Public health sanitation","Sanitation Dept"
"Mosquito control spraying","Sanitation Dept"
"Rodent control required","Sanitation Dept"
"Community toilet maintenance","Sanitation Dept"
"Solid waste management","Sanitation Dept"
